ticker,sector,composite_z,composite_rank,composite_pct,ai_score,ai_rated_at,value_quality_score,value_rank,growth_score,growth_rank,exclusion_reason
A,Health Care,0.129,947,61.64,,,,,,,
AA,Materials,0.1787,809,67.23,,,,,,,
AADX,Industrials,,,,,,,,,,new_issue
AAL,Industrials,-0.3055,1991,19.3,,,,,,,
AAMI,Financials,0.0231,1250,49.35,,,,,,,
AAOI,Information Technology,-0.4421,2133,13.54,,,,,,,
AAON,Industrials,-0.1731,1781,27.82,,,,,,,
AAP,Consumer Discretionary,-0.0204,1395,43.47,,,,,,,
AAPL,Information Technology,0.7739,80,96.8,,,,,,,
AAT,Real Estate,-0.2877,1974,19.99,,,,,,,
AAUC,Materials,0.0204,1261,48.91,,,,,,,
ABBV,Health Care,-0.0519,1479,40.06,,,,,,,
ABCB,Financials,-0.3272,2025,17.92,,,,,,,
ABCL,Health Care,-0.4382,2132,13.58,,,,,,,
ABEO,Health Care,-1.1078,2419,1.95,,,,,,,
ABG,Consumer Discretionary,-0.0081,1356,45.05,,,,,,,
ABM,,-0.0078,1355,45.09,,,,,,,
ABNB,,0.2509,622,74.82,,,,,,,
ABR,Real Estate,-0.626,2274,7.83,,,,,,,
ABSI,Health Care,0.0416,1203,51.26,,,,,,,
ABT,Health Care,-0.4334,2127,13.79,,,,,,,
ABTC,Financials,-2.0976,2467,0.0,33.0,2026-08-10T22:41:23.473184+00:00,,,3.1372,14,
ABUS,Health Care,-0.6486,2288,7.26,46.0,2026-08-24T22:38:09.073757+00:00,,,5.1865,9,
ABX,Financials,-0.5317,2211,10.38,,,,,,,
ACA,Industrials,0.3797,380,84.63,,,,,,,
ACAD,Health Care,-0.4292,2123,13.95,,,,,,,
ACDC,Energy,-0.5443,2225,9.81,,,,,,,
ACGL,Financials,0.0986,1036,58.03,,,,,,,
ACHC,Health Care,-0.4381,2131,13.63,,,,,,,
ACHR,Industrials,-0.6767,2300,6.77,,,,,,,
ACHV,Health Care,-0.0476,1463,40.71,,,,,,,
ACI,Consumer Staples,-0.2786,1962,20.48,,,,,,,
ACIW,Information Technology,0.1193,976,60.46,,,,,,,
ACLS,Industrials,-0.1717,1777,27.98,,,,,,,
ACM,Industrials,-0.4367,2130,13.67,,,,,,,
ACMR,Industrials,0.5942,161,93.51,,,,,,,
ACN,,0.1404,907,63.26,,,,,,,
ACRS,Health Care,0.0857,1075,56.45,,,,,,,
ACT,Financials,0.2904,533,78.43,,,,,,,
ACVA,,-0.308,1996,19.1,,,,,,,
AD,Communication Services,0.4133,324,86.9,,,,,,,
ADAM,Real Estate,0.2885,541,78.1,,,,,,,
ADBE,Information Technology,0.2713,574,76.76,,,,,,,
ADC,Real Estate,-0.1299,1680,31.91,,,,,,,
ADEA,Communication Services,0.3214,478,80.66,,,,,,,
ADI,Information Technology,0.2643,588,76.2,,,,,,,
ADM,Consumer Staples,0.2553,610,75.3,,,,,,,
ADMA,Health Care,-0.2323,1887,23.52,,,,,,,
ADNT,Consumer Discretionary,-0.0965,1597,35.28,,,,,,,
ADP,Information Technology,0.4574,284,88.52,,,,,,,
ADPT,Health Care,-0.2695,1948,21.05,,,,,,,
ADSK,Information Technology,0.2722,572,76.85,,,,,,,
ADT,,0.2497,627,74.61,,,,,,,
ADTN,Information Technology,-0.1245,1671,32.28,,,,,,,
ADUR,Materials,-0.156,1743,29.36,,,,,,,
ADUS,Health Care,0.3834,369,85.08,,,,,,,
ADX,,-0.0234,1403,43.15,,,,,,,
AEE,Utilities,-0.0202,1392,43.59,,,,,,,
AEG,Financials,-0.0396,1444,41.48,,,,,,,
AEHR,Industrials,-0.0108,1362,44.81,,,,,,,
AEIS,Information Technology,0.0289,1237,49.88,,,,,,,
AEM,Materials,-0.1121,1643,33.41,,,,,,,
AEO,Consumer Discretionary,0.3652,401,83.78,,,,,,,
AEP,Utilities,-0.0943,1592,35.48,,,,,,,
AER,,0.605,155,93.76,,,,,,,
AES,Utilities,0.5876,169,93.19,,,,,,,
AESI,Energy,-0.4582,2147,12.98,,,,,,,
AEVA,Consumer Discretionary,-1.3998,2448,0.77,,,,,,,
AFG,Financials,0.2283,675,72.67,,,,,,,
AFL,Financials,0.0502,1175,52.39,,,,,,,
AFRM,Financials,0.1392,915,62.94,,,,,,,
AG,Materials,0.7143,101,95.94,,,,,,,
AGCO,Industrials,-0.144,1715,30.49,,,,,,,
AGEN,Health Care,0.4705,267,89.21,,,,,,,
AGI,Materials,-0.5362,2216,10.18,,,,,,,
AGIO,Health Care,-0.6389,2283,7.46,,,,,,,
AGL,Health Care,0.3653,400,83.82,,,,,,,
AGM,Financials,0.0028,1313,46.8,,,,,,,
AGNC,Real Estate,0.2808,556,77.49,,,,,,,
AGO,Financials,-0.1793,1794,27.29,,,,,,,
AGRO,Materials,-0.0863,1566,36.54,,,,,,,
AGX,Industrials,1.0362,30,98.82,72.0,2026-08-19T22:37:24.073185+00:00,0.9492,24,0.4759,239,
AGYS,Information Technology,-0.0256,1410,42.86,,,,,,,
AHCO,Health Care,-0.5345,2213,10.3,,,,,,,
AHR,Real Estate,-0.032,1429,42.09,68.0,2026-08-10T22:40:25.505742+00:00,0.0118,1183,6.227,6,
AI,Information Technology,-0.1019,1615,34.55,,,,,,,
AIBZ,Financials,,,,,,,,,,insufficient_history
AIG,Financials,-0.0566,1495,39.42,,,,,,,
AIN,Consumer Discretionary,-0.0277,1417,42.58,,,,,,,
AIP,Information Technology,-0.1918,1815,26.44,,,,,,,
AIR,Industrials,0.2054,742,69.95,,,,,,,
AIT,Industrials,0.1549,861,65.13,,,,,,,
AIZ,Financials,0.2219,695,71.86,,,,,,,
AJG,Financials,-0.2722,1952,20.88,,,,,,,
AKAM,,-0.1188,1658,32.81,,,,,,,
AKR,Real Estate,-0.037,1437,41.77,,,,,,,
AKTS,Health Care,,,,,,,,,,new_issue
ALAB,Information Technology,-0.1309,1683,31.79,,,,,,,
ALB,Materials,0.2139,719,70.88,,,,,,,
ALC,Health Care,-0.1429,1713,30.58,,,,,,,
ALG,Industrials,-0.1676,1769,28.3,,,,,,,
ALGM,Information Technology,0.0969,1042,57.79,,,,,,,
ALGN,Health Care,-0.0468,1462,40.75,,,,,,,
ALGT,Industrials,0.0638,1138,53.89,,,,,,,
ALH,Industrials,,,,,,,,,,new_issue
ALHC,Financials,0.2101,727,70.56,,,,,,,
ALIT,,-0.6359,2282,7.5,,,,,,,
ALK,Industrials,-0.6351,2281,7.54,,,,,,,
ALKS,Health Care,-0.4652,2153,12.73,,,,,,,
ALKT,Information Technology,0.0454,1188,51.87,,,,,,,
ALL,Financials,0.4815,250,89.9,,,,,,,
ALLE,,0.3043,505,79.56,,,,,,,
ALLY,Financials,0.0666,1131,54.18,,,,,,,
ALM,Materials,2.607,4,99.88,,,,,,,
ALMR,Health Care,,,,,,,,,,new_issue
ALMS,Health Care,0.6226,144,94.2,,,,,,,
ALMU,Information Technology,-0.8992,2379,3.57,,,,,,,
